year,i_iso3,pop
1998,AFG,19737770
1998,AFR,781171351
1998,ASM,56180
1998,AUS,18587027
1998,BGD,122682818
1998,BRN,319135
1998,BTN,564378
1998,CAN,30022078
1998,CHN,1271982349
1998,COK,18313
1998,EUR,724083694
1998,FJI,800148
1998,FSM,108206
1998,GUM,152274
1998,HKG,6416996
1998,IDN,205724597
1998,IND,1019483586
1998,IRN,63971836
1998,JPN,127117436
1998,KHM,11600510
1998,KIR,81558
1998,KOR,46620698
1998,LAO,5144601
1998,LKA,18564595
1998,MAC,409620
1998,MDV,268445
1998,MHL,50356
1998,MMR,45611220
1998,MNG,2355667
1998,MNP,52999
1998,MYS,22114647
1998,NCL,208065
1998,NIU,2010
1998,NPL,23057875
1998,NRU,10567
1998,NZL,3783976
1998,PAK,134843233
1998,PHL,74672009
1998,PLW,18409
1998,PNG,5581767
1998,PRK,22536754
1998,PYF,231562
1998,ROA,231712568
1998,SCA,506561306
1998,SGP,3860721
1998,SLB,390702
1998,THA,61585103
1998,TKL,1569
1998,TLS,866523
1998,TON,97036
1998,TUV,9332
1998,TWN,21721513
1998,USA,275175309
1998,VNM,78115712
1998,VUT,177987
1998,WLF,14463
1998,WSM,172839
1999,AFG,20170847
1999,AFR,800379515
1999,ASM,57049
1999,AUS,18788187
1999,BGD,125189655
1999,BRN,326214
1999,BTN,577886
1999,CAN,30302511
1999,CHN,1281514833
1999,COK,18042
1999,EUR,723634621
1999,FJI,806302
1999,FSM,107769
1999,GUM,153955
1999,HKG,6522461
1999,IDN,208615171
1999,IND,1038058154
1999,IRN,64800875
1999,JPN,127326063
1999,KHM,11886464
1999,KIR,82969
1999,KOR,47016952
1999,LAO,5235339
1999,LKA,18663293
1999,MAC,418388
1999,MDV,273522
1999,MHL,50418
1999,MMR,46181075
1999,MNG,2376228
1999,MNP,55633
1999,MYS,22661293
1999,NCL,212782
1999,NIU,1953
1999,NPL,23509971
1999,NRU,10449
1999,NZL,3818128
1999,PAK,138624625
1999,PHL,76325927
1999,PLW,18773
1999,PNG,5716166
1999,PRK,22731470
1999,PYF,236217
1999,ROA,235728444
1999,SCA,514244189
1999,SGP,3954741
1999,SLB,401592
1999,THA,62298569
1999,TKL,1574
1999,TLS,873138
1999,TON,97475
1999,TUV,9344
1999,TWN,21838635
1999,USA,278548148
1999,VNM,79035871
1999,VUT,181259
1999,WLF,14580
1999,WSM,173606
2000,AFG,20779957
2000,AFR,820062445
2000,ASM,57816
2000,AUS,18991434
2000,BGD,127657862
2000,BRN,333166
2000,BTN,591014
2000,CAN,30588379
2000,CHN,1290550767
2000,COK,17935
2000,EUR,723476467
2000,FJI,811011
2000,FSM,107405
2000,GUM,155323
2000,HKG,6606328
2000,IDN,211513822
2000,IND,1056575548
2000,IRN,65623397
2000,JPN,127524168
2000,KHM,12155241
2000,KIR,84405
2000,KOR,47379237
2000,LAO,5323701
2000,LKA,18777606
2000,MAC,427772
2000,MDV,279396
2000,MHL,50754
2000,MMR,46719698
2000,MNG,2397417
2000,MNP,57453
2000,MYS,23194252
2000,NCL,217263
2000,NIU,1902
2000,NPL,23941099
2000,NRU,10335
2000,NZL,3858992
2000,PAK,142343583
2000,PHL,77991757
2000,PLW,19104
2000,PNG,5847590
2000,PRK,22929078
2000,PYF,240681
2000,ROA,239904670
2000,SCA,521780929
2000,SGP,4028872
2000,SLB,412665
2000,THA,62952639
2000,TKL,1550
2000,TLS,884366
2000,TON,97962
2000,TUV,9392
2000,TWN,21966528
2000,USA,281710914
2000,VNM,79910411
2000,VUT,184964
2000,WLF,14697
2000,WSM,174454
2001,AFG,21606992
2001,AFR,840258328
2001,ASM,58496
2001,AUS,19194676
2001,BGD,130088709
2001,BRN,340037
2001,BTN,603643
2001,CAN,30880072
2001,CHN,1299129747
2001,COK,18017
2001,EUR,723682093
2001,FJI,813923
2001,FSM,107170
2001,GUM,156395
2001,HKG,6664775
2001,IDN,214427419
2001,IND,1075000094
2001,IRN,66449111
2001,JPN,127713824
2001,KHM,12405411
2001,KIR,85844
2001,KOR,47706226
2001,LAO,5409584
2001,LKA,18911727
2001,MAC,437928
2001,MDV,286309
2001,MHL,51411
2001,MMR,47225119
2001,MNG,2419594
2001,MNP,58319
2001,MYS,23709115
2001,NCL,221499
2001,NIU,1843
2001,NPL,24347113
2001,NRU,10219
2001,NZL,3907941
2001,PAK,145978408
2001,PHL,79672869
2001,PLW,19390
2001,PNG,5974627
2001,PRK,23132982
2001,PYF,244929
2001,ROA,244249855
2001,SCA,529159039
2001,SGP,4077150
2001,SLB,423949
2001,THA,63539190
2001,TKL,1506
2001,TLS,901214
2001,TON,98482
2001,TUV,9478
2001,TWN,22108715
2001,USA,284607992
2001,VNM,80742500
2001,VUT,189209
2001,WLF,14835
2001,WSM,175394
2002,AFG,22600774
2002,AFR,860992380
2002,ASM,59077
2002,AUS,19401366
2002,BGD,132478077
2002,BRN,346777
2002,BTN,616025
2002,CAN,31178260
2002,CHN,1307352256
2002,COK,18274
2002,EUR,724215899
2002,FJI,815257
2002,FSM,107027
2002,GUM,157173
