year,i_iso3,j_iso3,f_migstock,f_migstock_t,migstock_gross
2000,AFG,AFR,857.269649897702,0,857.269649897702
2001,AFG,AFR,721.4345479096658,0,721.4345479096658
2002,AFG,AFR,885.229028877169,0,885.229028877169
2003,AFG,AFR,107.86064967748706,0,107.86064967748706
2004,AFG,AFR,91.24095826841886,0,91.24095826841886
2005,AFG,AFR,887.7454512693919,0,887.7454512693919
2006,AFG,AFR,1087.486548480112,0,1087.486548480112
2007,AFG,AFR,328.9382823081687,0,328.9382823081687
2008,AFG,AFR,1503.1159115906803,0,1503.1159115906803
2009,AFG,AFR,1156.298187732417,0,1156.298187732417
2010,AFG,AFR,1821.2052834311498,0,1821.2052834311498
2011,AFG,AFR,531.3079633768648,0,531.3079633768648
2012,AFG,AFR,897.7358219569362,0,897.7358219569362
2013,AFG,AFR,425.5987279290333,0,425.5987279290333
2014,AFG,AFR,1788.4354708058572,0,1788.4354708058572
2015,AFG,AFR,900.1500385262071,0,900.1500385262071
2016,AFG,AFR,299.82972797359116,0,299.82972797359116
2017,AFG,AFR,1667.8633695846656,0,1667.8633695846656
2018,AFG,AFR,1225.2730429689866,0,1225.2730429689866
2019,AFG,AFR,2113.540775821032,0,2113.540775821032
2000,AFG,ASM,0,0,0
2001,AFG,ASM,0,0,0
2002,AFG,ASM,0,0,0
2003,AFG,ASM,0,0,0
2004,AFG,ASM,0,0,0
2005,AFG,ASM,0,0,0
2006,AFG,ASM,0,0,0
2007,AFG,ASM,0,0,0
2008,AFG,ASM,0,0,0
2009,AFG,ASM,0,0,0
2010,AFG,ASM,0,0,0
2011,AFG,ASM,0,0,0
2012,AFG,ASM,0,0,0
2013,AFG,ASM,0,0,0
2014,AFG,ASM,0,0,0
2015,AFG,ASM,0,0,0
2016,AFG,ASM,0,0,0
2017,AFG,ASM,0,0,0
2018,AFG,ASM,0,0,0
2019,AFG,ASM,0,0,0
2000,AFG,AUS,17686.901402948424,0,17686.901402948424
2001,AFG,AUS,3319.178902396001,0,3319.178902396001
2002,AFG,AUS,9970.222947967983,0,9970.222947967983
2003,AFG,AUS,18216.415183571167,0,18216.415183571167
2004,AFG,AUS,32180.890978050607,0,32180.890978050607
2005,AFG,AUS,15720.884846389294,0,15720.884846389294
2006,AFG,AUS,19085.782885300367,0,19085.782885300367
2007,AFG,AUS,27006.169887301327,0,27006.169887301327
2008,AFG,AUS,6860.69954252541,0,6860.69954252541
2009,AFG,AUS,46140.00326414984,0,46140.00326414984
2010,AFG,AUS,7921.826598845422,0,7921.826598845422
2011,AFG,AUS,64855.25596962962,0,64855.25596962962
2012,AFG,AUS,66593.68344076257,0,66593.68344076257
2013,AFG,AUS,76497.85946280145,0,76497.85946280145
