year,i_iso3,j_iso3,trade
2000,AFG,AFR,2614393.2821020912
2000,AFG,AUS,40180.75690050353
2000,AFG,BGD,36854.95936923548
2000,AFG,CAN,204875.32468280976
2000,AFG,CHN,8091812.7997803865
2000,AFG,EUR,75203477.66480882
2000,AFG,HKG,2.2968821798451247
2000,AFG,IDN,229536.9663142583
2000,AFG,IND,7562854.498986211
2000,AFG,IRN,566707.8431227192
2000,AFG,JPN,450562.32328003657
2000,AFG,KOR,82207.9011231862
2000,AFG,LKA,1529.0177750923667
2000,AFG,MNG,896658.3165990562
2000,AFG,MYS,1143517.954030329
2000,AFG,NCL,2283.651446180558
2000,AFG,NZL,312853.556090186
2000,AFG,PAK,49640435.698432766
2000,AFG,PHL,91691.53717271221
2000,AFG,PNG,105662.66244560704
2000,AFG,PYF,4374.0369637338445
2000,AFG,ROA,3791179.4380828543
2000,AFG,SCA,5497723.9866488455
2000,AFG,SGP,1598269.7282999677
2000,AFG,THA,215910.7281071404
2000,AFG,USA,1003546.1148518653
2000,AFG,VNM,141544.4439603947
2000,AFR,AFG,14839373.399800073
2000,AFR,ASM,4198388.619015856
2000,AFR,AUS,572041452.1383873
2000,AFR,BGD,139903449.59609884
2000,AFR,BRN,2536894.671822628
2000,AFR,BTN,9625.455003704225
2000,AFR,CAN,1909475871.120656
2000,AFR,CHN,2162705008.6918
2000,AFR,COK,9920.329021976468
2000,AFR,EUR,111506915467.01665
2000,AFR,FJI,1146399.45108576
2000,AFR,FSM,7236.713718241081
2000,AFR,GUM,619188.2258246831
2000,AFR,HKG,131588895.97116625
2000,AFR,IDN,868593174.2619469
2000,AFR,IND,1642428800.0615244
2000,AFR,IRN,343404273.8214467
2000,AFR,JPN,4869213157.361711
2000,AFR,KHM,1389572.6424040175
2000,AFR,KOR,2014459783.7495856
2000,AFR,LAO,59461.951469796855
2000,AFR,LKA,27732286.87675675
2000,AFR,MAC,7043269.049103018
2000,AFR,MDV,1768114.6977435758
2000,AFR,MHL,12734.092927679048
2000,AFR,MMR,368341.34283590317
2000,AFR,MNG,257958.0916982793
2000,AFR,MNP,40537.84861936467
2000,AFR,MYS,134461902.2302706
2000,AFR,NCL,1329309.1719883196
2000,AFR,NIU,7259.79349433328
2000,AFR,NPL,1277317.5798844418
2000,AFR,NRU,45280100.85161747
2000,AFR,NZL,22676016.100639343
2000,AFR,PAK,563164749.726797
2000,AFR,PHL,84148341.12323882
2000,AFR,PLW,10181.135986973532
2000,AFR,PNG,1487255.6623802476
2000,AFR,PRK,27468662.065182783
2000,AFR,PYF,1676230.3981144272
2000,AFR,ROA,3511658011.11884
2000,AFR,SCA,9043645625.35473
2000,AFR,SGP,794264017.9669883
2000,AFR,SLB,347275.67392342456
2000,AFR,THA,861822521.83145
2000,AFR,TKL,3302740.000630063
2000,AFR,TLS,137651.3674372628
2000,AFR,TON,36909.640854628014
2000,AFR,TUV,39269.48020108929
2000,AFR,USA,29571494196.86664
2000,AFR,VNM,43177533.56442212
2000,AFR,VUT,484707.0300089905
2000,AFR,WLF,115170.2925916193
2000,AFR,WSM,59568.557113956194
2000,ASM,AFR,3096850.151507701
2000,ASM,AUS,2347222.061752973
2000,ASM,BGD,1128939.513965468
2000,ASM,CAN,23352.713340991177
2000,ASM,EUR,32576.899250168353
2000,ASM,IDN,1242887.7553637773
2000,ASM,JPN,575078.9543067827
2000,ASM,KOR,11607.4388315951
2000,ASM,MAC,718.8846852028742
2000,ASM,MYS,21655.369622098144
2000,ASM,NZL,583495.8473210639
2000,ASM,PHL,57240.80889515169
2000,ASM,PNG,418.6148396199569
2000,ASM,ROA,27243.34553515329
2000,ASM,SCA,44990.72819989463
2000,ASM,SGP,26417.24266976185
2000,ASM,THA,355166.2251148254
2000,ASM,TON,12339.990738875233
2000,ASM,WLF,23910.34920302336
2000,AUS,AFG,52024.28054502551
2000,AUS,AFR,1549705074.7721238
2000,AUS,ASM,47592028.708258495
2000,AUS,BGD,21968347.834662914
2000,AUS,BRN,27958324.72854542
2000,AUS,BTN,38677.596094120854
2000,AUS,CAN,694309227.1911894
2000,AUS,CHN,5796920944.567783
2000,AUS,COK,3971361.502400054
2000,AUS,EUR,1364152238.8840694
2000,AUS,FJI,243981101.33050308
2000,AUS,FSM,6672261.425458736
2000,AUS,GUM,18125149.90167479
2000,AUS,HKG,488789030.3001373
2000,AUS,IDN,1866690993.6297624
2000,AUS,IND,798653079.7490536
2000,AUS,IRN,107148452.32658947
2000,AUS,JPN,15524302501.140854
2000,AUS,KHM,5839254.038857248
2000,AUS,KIR,23307443.643360764
2000,AUS,KOR,3663656941.9193993
2000,AUS,LAO,256020.11245854013
2000,AUS,LKA,160712183.2365164
2000,AUS,MAC,21696362.237258025
2000,AUS,MDV,7385546.047630672
2000,AUS,MHL,728026.3880278948
2000,AUS,MMR,18415841.16318633
2000,AUS,MNG,1972960.892481824
2000,AUS,MNP,1928556.0958071058
2000,AUS,MYS,1487071368.914791
2000,AUS,NCL,55841693.75194624
2000,AUS,NIU,23386.41250590235
2000,AUS,NPL,1516481.6518915528
2000,AUS,NRU,1646179.9194921777
2000,AUS,NZL,1239945400.3270807
2000,AUS,PAK,257791228.99236363
2000,AUS,PHL,841214545.3971839
2000,AUS,PLW,680094.7292027384
2000,AUS,PNG,501209665.42158854
2000,AUS,PRK,1123100.6114300385
2000,AUS,PYF,126916621.66013567
2000,AUS,ROA,2651474776.5615783
2000,AUS,SCA,1357784450.4265013
2000,AUS,SGP,462941508.7236974
2000,AUS,SLB,28005944.889203824
2000,AUS,THA,714069290.5875769
2000,AUS,TKL,1788.7122854209974
2000,AUS,TLS,2934645.4147285353
2000,AUS,TON,22778028.90519719
2000,AUS,TUV,4177778.734145404
2000,AUS,USA,7349142077.596094
2000,AUS,VNM,44562827.72521174
2000,AUS,VUT,48276792.68382508
2000,AUS,WLF,3581826.757094148
2000,AUS,WSM,21992136.632487923
2000,BGD,AFG,6331175.976886444
2000,BGD,AFR,34374140.45985038
2000,BGD,AUS,57193492.225198425
2000,BGD,BTN,1702985.7582856766
2000,BGD,CAN,133906130.64048554
2000,BGD,CHN,17398084.326968182
2000,BGD,EUR,2917505113.552396
2000,BGD,FJI,113796.60222443906
2000,BGD,GUM,4232.431294177845
2000,BGD,HKG,94666460.64934438
2000,BGD,IDN,1866641.1975175142
2000,BGD,IND,22263188.155171625
2000,BGD,IRN,6117047.904179357
2000,BGD,JPN,167543713.72547027
2000,BGD,KHM,232047.69208418753
2000,BGD,KOR,12255459.071807507
2000,BGD,LKA,1815108.1169331933
2000,BGD,MDV,131.09491407405585
2000,BGD,MMR,1164519.211952102
2000,BGD,MNG,34395.914476855425
2000,BGD,MYS,14673308.691150717
2000,BGD,NCL,1294546.5710417242
2000,BGD,NPL,7136221.718703428
2000,BGD,NZL,3163821.0268075676
2000,BGD,PAK,15225005.030865818
2000,BGD,PHL,810672.8326134987
2000,BGD,PNG,1004198.0976741052
2000,BGD,PRK,785783.5783499125
2000,BGD,PYF,160941.24886561534
2000,BGD,ROA,25446165.495599642
2000,BGD,SCA,21274626.960972305
2000,BGD,SGP,60505296.79677757
2000,BGD,SLB,10059.518134339713
2000,BGD,THA,33315065.650546826
2000,BGD,USA,3423445653.708188
2000,BGD,VNM,4523400.005488084
2000,BGD,VUT,34908.38207108942
2000,BGD,WLF,3727.2509587002914
2000,BGD,WSM,4560.367358280858
2000,BRN,AFR,682458.1422541365
2000,BRN,AUS,28751107.70765245
2000,BRN,BGD,88.80229946039617
2000,BRN,CAN,323836.13522365876
2000,BRN,CHN,78647991.60843785
2000,BRN,EUR,102197874.05889592
2000,BRN,HKG,636042.0559749776
2000,BRN,IDN,6560901.364579417
2000,BRN,IND,61401.272612197514
2000,BRN,JPN,920369337.7995502
2000,BRN,KHM,1872.1893560966475
2000,BRN,KOR,637020024.0481579
2000,BRN,LKA,630.484782428015
2000,BRN,MDV,57.14367968812585
2000,BRN,MYS,1842290.8389001153
2000,BRN,NPL,100123.71259652538
2000,BRN,NZL,74939.99285772098
2000,BRN,PAK,163368.22785338302
2000,BRN,PHL,302201.8279656443
2000,BRN,ROA,995021.1945376701
2000,BRN,SCA,398273.06099267805
2000,BRN,SGP,318547444.4063607
2000,BRN,THA,583322203.692786
2000,BRN,USA,109151986.31454408
2000,BRN,VNM,11176.71229899861
2000,BTN,AFR,1261556.4090431859
2000,BTN,AUS,246.39586323276163
2000,BTN,BGD,855415.956057867
2000,BTN,CAN,3940.3809857893734
2000,BTN,EUR,2098344.5650101346
2000,BTN,HKG,645.8162522484548
2000,BTN,IDN,72.0594056217
2000,BTN,IND,2806859.830813421
2000,BTN,JPN,13892.911264226914
2000,BTN,KOR,31521.84853019207
2000,BTN,NPL,633883.1266935647
2000,BTN,PAK,300364.63730751275
2000,BTN,PHL,113504.17472294327
2000,BTN,ROA,164037.52988330723
2000,BTN,SCA,42122.95289330033
2000,BTN,SGP,10356.437363381126
2000,BTN,THA,43352.839015045756
2000,BTN,USA,334535.9306865564
2000,CAN,AFG,164966.7790751596
2000,CAN,AFR,583866500.3125165
2000,CAN,ASM,429454.9444324312
2000,CAN,AUS,1308890265.9233606
2000,CAN,BGD,99632861.09198658
2000,CAN,BRN,682899.7414177726
2000,CAN,CHN,5195367584.114673
2000,CAN,COK,2518.6737102998422
2000,CAN,EUR,17949046102.2881
2000,CAN,FJI,2908216.4655960957
2000,CAN,GUM,2344839.07101408
2000,CAN,HKG,1991128015.781921
2000,CAN,IDN,388134897.57080996
2000,CAN,IND,245433412.00481278
2000,CAN,IRN,586964731.4487555
2000,CAN,JPN,8175671158.091041
2000,CAN,KHM,7717033.165261317
2000,CAN,KIR,97258.76237422353
2000,CAN,KOR,2526457297.101839
2000,CAN,LAO,417511.37564568594
2000,CAN,LKA,33785220.42286858
2000,CAN,MAC,3588618.4497869946
2000,CAN,MDV,3828280.4438475445
2000,CAN,MMR,160514.29215494567
2000,CAN,MNG,1128211.3567231384
2000,CAN,MYS,563584180.6236783
2000,CAN,NCL,291571.3741264995
2000,CAN,NIU,14601.907384068427
2000,CAN,NPL,8441925.83945816
2000,CAN,NRU,57074.2683621822
2000,CAN,NZL,211855953.10274258
2000,CAN,PAK,27948198.4058441
2000,CAN,PHL,244692814.0922203
2000,CAN,PNG,1212880.7881386075
2000,CAN,PRK,18785555.558707036
2000,CAN,PYF,10546393.064119631
2000,CAN,ROA,3429159785.4818335
2000,CAN,SCA,4537363802.815713
2000,CAN,SGP,369617342.05858886
2000,CAN,SLB,101640.6873508051
2000,CAN,THA,294964143.6085942
2000,CAN,TON,64092.255308181055
2000,CAN,USA,73228629139.14948
2000,CAN,VNM,35812250.544620626
2000,CAN,VUT,10414.570889057872
2000,CAN,WLF,16175.20008015139
2000,CAN,WSM,814183.5841156568
2000,CHN,AFG,36228664.16366331
2000,CHN,AFR,3431602107.2573857
2000,CHN,AUS,683220139.649045
2000,CHN,BGD,233651434.69659233
2000,CHN,BRN,18978941.971962556
2000,CHN,BTN,1889827.4048512473
2000,CHN,CAN,5694127622.779533
2000,CHN,COK,197934.45745048337
2000,CHN,EUR,76612216713.1472
2000,CHN,FJI,28175460.85582261
2000,CHN,FSM,465073.67254146375
2000,CHN,HKG,114394237387.69708
2000,CHN,IDN,1121972533.7704754
2000,CHN,IND,1792485874.6729326
2000,CHN,IRN,758142220.9302704
2000,CHN,JPN,86654928469.24559
2000,CHN,KHM,32974802.2443285
2000,CHN,KIR,1658835.4888345846
2000,CHN,KOR,14791478833.44963
