year,o_name,d_name,q10,q50,q90
2000,AFG,AFG,0,0,0
2000,AFG,ASM,0,0,0
2000,AFG,AUS,108,124,139
2000,AFG,BGD,11,12,14
2000,AFG,BRN,0,0,0
2000,AFG,BTN,0,0,0
2000,AFG,CAN,141,164,189
2000,AFG,CHN,8058.7,9234.5,10761.3
2000,AFG,COK,0,0,0
2000,AFG,FJI,0,0,0
2000,AFG,FSM,0,0,0
2000,AFG,GUM,0,0,0
2000,AFG,HKG,0,0,0
2000,AFG,IDN,945.9,1096,1294.3
2000,AFG,IND,29459.6,34447.5,40913.2
2000,AFG,IRN,49605.9,55755,63879.1
2000,AFG,JPN,138,155,179
2000,AFG,KHM,0,0,0
2000,AFG,KIR,0,0,0
2000,AFG,KOR,12,13,15
2000,AFG,LAO,0,0,0
2000,AFG,LKA,3,3,4
2000,AFG,MAC,0,0,0
2000,AFG,MDV,0,0,0
2000,AFG,MHL,0,0,0
2000,AFG,MMR,0,0,0
2000,AFG,MNG,291,333,386
2000,AFG,MNP,0,0,0
2000,AFG,MYS,233,263.5,305.1
2000,AFG,NCL,2,2,2
2000,AFG,NIU,0,0,0
2000,AFG,NPL,0,0,0
2000,AFG,NRU,0,0,0
2000,AFG,NZL,70,79,89
2000,AFG,PAK,39082.5,44286.5,51354.3
2000,AFG,PHL,35,40,47
2000,AFG,PLW,0,0,0
2000,AFG,PNG,230,292,388
2000,AFG,PRK,0,0,0
2000,AFG,PYF,1,2,2
2000,AFG,SGP,47,55,63
2000,AFG,SLB,0,0,0
2000,AFG,THA,56,63,73
2000,AFG,TKL,0,0,0
2000,AFG,TLS,0,0,0
2000,AFG,TON,0,0,0
2000,AFG,TUV,0,0,0
2000,AFG,TWN,6,7,8
2000,AFG,USA,675,759,883.1
2000,AFG,VNM,48,55,65
2000,AFG,VUT,0,0,0
2000,AFG,WLF,0,0,0
2000,AFG,WSM,0,0,0
2000,AFG,AFR,722,818,955.1
2000,AFG,EUR,28348.3,32115.5,37522.1
2000,AFG,ROA,4986.5,5649,6600.1
2000,AFG,SCA,1323.9,1499,1752
2000,AFR,AFG,8937.7,10064.5,11442.8
2000,AFR,ASM,4,5,6
2000,AFR,AUS,8720,8745.5,8773
2000,AFR,BGD,4740.8,5440.5,6268.1
2000,AFR,BRN,7,8,9
2000,AFR,BTN,2,2,3
2000,AFR,CAN,8139,8170,8200
2000,AFR,CHN,36382.6,42962.5,51648
2000,AFR,COK,0,0,0
2000,AFR,FJI,2,2,3
2000,AFR,FSM,0,0,0
2000,AFR,GUM,2,3,4
2000,AFR,HKG,90,111,139.1
2000,AFR,IDN,8063.8,9037.5,10302.3
2000,AFR,IND,259625.6,303695.5,358865.2
2000,AFR,IRN,3589.9,4072.5,4628.1
2000,AFR,JPN,5365.6,6040,6897
2000,AFR,KHM,22,25,28
2000,AFR,KIR,0,0,0
2000,AFR,KOR,2170,2190,2208
2000,AFR,LAO,2,3,3
2000,AFR,LKA,445,505,572.1
2000,AFR,MAC,8,9,10
2000,AFR,MDV,12,14,16
2000,AFR,MHL,0,0,0
2000,AFR,MMR,24,27,30
2000,AFR,MNG,4,5,5
2000,AFR,MNP,0,1,1
2000,AFR,MYS,1024,1153,1311.2
2000,AFR,NCL,54,59,65
2000,AFR,NIU,0,0,0
2000,AFR,NPL,83,95,110
2000,AFR,NRU,103,120,135
2000,AFR,NZL,1134,1158,1184
2000,AFR,PAK,20897.9,23930.5,27618.4
2000,AFR,PHL,724,810,920
2000,AFR,PLW,0,0,0
2000,AFR,PNG,45,52,62
2000,AFR,PRK,1147,1294,1469
2000,AFR,PYF,35,38,42
