year,o_name,d_name,q50,q10,q90
2000,AFG,AFG,0,0,0
2000,AFG,ASM,0,0,0
2000,AFG,AUS,124,108,139
2000,AFG,BGD,12,11,14
2000,AFG,BRN,0,0,0
2000,AFG,BTN,0,0,0
2000,AFG,CAN,164,141,189
2000,AFG,CHN,9234.5,8058.7,10761.3
2000,AFG,COK,0,0,0
2000,AFG,FJI,0,0,0
2000,AFG,FSM,0,0,0
2000,AFG,GUM,0,0,0
2000,AFG,HKG,0,0,0
2000,AFG,IDN,1096,945.9,1294.3
2000,AFG,IND,34447.5,29459.6,40913.2
2000,AFG,IRN,55755,49605.9,63879.1
2000,AFG,JPN,155,138,179
2000,AFG,KHM,0,0,0
2000,AFG,KIR,0,0,0
2000,AFG,KOR,13,12,15
2000,AFG,LAO,0,0,0
2000,AFG,LKA,3,3,4
2000,AFG,MAC,0,0,0
2000,AFG,MDV,0,0,0
2000,AFG,MHL,0,0,0
2000,AFG,MMR,0,0,0
2000,AFG,MNG,333,291,386
2000,AFG,MNP,0,0,0
2000,AFG,MYS,263.5,233,305.1
2000,AFG,NCL,2,2,2
2000,AFG,NIU,0,0,0
2000,AFG,NPL,0,0,0
2000,AFG,NRU,0,0,0
2000,AFG,NZL,79,70,89
2000,AFG,PAK,44286.5,39082.5,51354.3
2000,AFG,PHL,40,35,47
2000,AFG,PLW,0,0,0
2000,AFG,PNG,292,230,388
2000,AFG,PRK,0,0,0
2000,AFG,PYF,2,1,2
2000,AFG,SGP,55,47,63
2000,AFG,SLB,0,0,0
2000,AFG,THA,63,56,73
2000,AFG,TKL,0,0,0
2000,AFG,TLS,0,0,0
2000,AFG,TON,0,0,0
2000,AFG,TUV,0,0,0
2000,AFG,TWN,7,6,8
2000,AFG,USA,759,675,883.1
2000,AFG,VNM,55,48,65
2000,AFG,VUT,0,0,0
2000,AFG,WLF,0,0,0
2000,AFG,WSM,0,0,0
2000,AFG,AFR,818,722,955.1
2000,AFG,EUR,32115.5,28348.3,37522.1
2000,AFG,ROA,5649,4986.5,6600.1
2000,AFG,SCA,1499,1323.9,1752
2000,AFR,AFG,10064.5,8937.7,11442.8
2000,AFR,ASM,5,4,6
2000,AFR,AUS,8745.5,8720,8773
2000,AFR,BGD,5440.5,4740.8,6268.1
2000,AFR,BRN,8,7,9
2000,AFR,BTN,2,2,3
2000,AFR,CAN,8170,8139,8200
2000,AFR,CHN,42962.5,36382.6,51648
2000,AFR,COK,0,0,0
2000,AFR,FJI,2,2,3
2000,AFR,FSM,0,0,0
2000,AFR,GUM,3,2,4
2000,AFR,HKG,111,90,139.1
2000,AFR,IDN,9037.5,8063.8,10302.3
2000,AFR,IND,303695.5,259625.6,358865.2
2000,AFR,IRN,4072.5,3589.9,4628.1
2000,AFR,JPN,6040,5365.6,6897
2000,AFR,KHM,25,22,28
2000,AFR,KIR,0,0,0
2000,AFR,KOR,2190,2170,2208
2000,AFR,LAO,3,2,3
2000,AFR,LKA,505,445,572.1
2000,AFR,MAC,9,8,10
2000,AFR,MDV,14,12,16
2000,AFR,MHL,0,0,0
2000,AFR,MMR,27,24,30
2000,AFR,MNG,5,4,5
2000,AFR,MNP,1,0,1
2000,AFR,MYS,1153,1024,1311.2
2000,AFR,NCL,59,54,65
2000,AFR,NIU,0,0,0
2000,AFR,NPL,95,83,110
2000,AFR,NRU,120,103,135
2000,AFR,NZL,1158,1134,1184
2000,AFR,PAK,23930.5,20897.9,27618.4
2000,AFR,PHL,810,724,920
2000,AFR,PLW,0,0,0
2000,AFR,PNG,52,45,62
2000,AFR,PRK,1294,1147,1469
2000,AFR,PYF,38,35,42
